molecule_chembl_id,standard_value,canonical_smiles
CHEMBL121752,1000.0,CCOC(=O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O
CHEMBL123071,19.5,O=C(O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O
CHEMBL123155,114.82,O=C(Cl)C1=Cc2ccccc2CC1=O
CHEMBL56918,144.54,C/C(=C\COc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1
CHEMBL122239,588.84,Cc1cc2ccc(OC/C=C/C3=CC(=O)C(C)(C)O3)cc2oc1=O
CHEMBL326485,1513.56,CC1(c2ccccc2)OC(/C=C/COc2ccc3ccc(=O)oc3c2)=CC1=O
CHEMBL119017,128.82,C/C(=C\COc1ccc2c(C)c(C)c(=O)oc2c1)C1=CC(=O)C(C)(C)O1
CHEMBL120770,169.82,Cc1cc(=O)oc2cc(OC/C=C/C3=CC(=O)C(C)(C)O3)ccc12
CHEMBL118875,630.96,Cc1c(C)c2ccc(OC/C=C/C3=CC(=O)C(C)(C)O3)cc2oc1=O
CHEMBL118629,1698.24,CC(=O)/C=C/C=C/COc1ccc2ccc(=O)oc2c1
CHEMBL333655,28.18,CC1(C)OC(/C=C/COc2ccc3ccc(=O)oc3c2)=CC1=O
CHEMBL130217,200.0,NC(=O)/C=C1\CCc2c(F)cc(F)cc21
CHEMBL2093956,6700.0,Cc1ccc([C@@]2(F)C[C@H]2N)cc1
CHEMBL536057,71000.0,C=C(CNN)c1ccccc1
CHEMBL556769,650.0,NNC/C(=C/F)c1ccccc1
CHEMBL553631,90000.0,C=C(CNN)c1ccccc1C
CHEMBL536059,81000.0,C=C(CNN)c1ccc(F)cc1
CHEMBL536060,24500.0,C=C(CNN)c1ccc(Cl)cc1
CHEMBL142738,8.71,Cc1c(C)c2ccc(NC(=O)c3ccccc3)cc2oc1=O
CHEMBL145781,1.698,O=c1ccc2ccc(OCc3ccccc3)cc2o1
CHEMBL339565,26.3,CC(=O)c1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1
CHEMBL124935,8.318,O=C1c2ccccc2-c2nnc(-c3ccc([N+](=O)[O-])cc3)cc21
CHEMBL123895,524.81,O=C1c2ccccc2-c2nnc(-c3ccccc3[N+](=O)[O-])cc21
CHEMBL339429,117.49,N#Cc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1
CHEMBL339027,33.11,N#Cc1cccc(-c2cc3c(nn2)-c2ccccc2C3=O)c1
CHEMBL127774,8.511,O=C1c2ccccc2-c2nnc(-c3cccc(C(F)(F)F)c3)cc21
