,molecule_chembl_id,canonical_smiles,pIC50
68,CHEMBL123768,CCOC(=O)C1=Cc2cc(C)ccc2CC1=O,6.0
69,CHEMBL122697,CCOC(=O)C1=Cc2cc(Cl)ccc2CC1=O,6.0
70,CHEMBL340590,O=C(Cl)C1=Cc2cc(Cl)ccc2CC1=O,8.0
71,CHEMBL122279,O=C(O)C1=Cc2ccccc2CC1=O,7.7599502278873524
72,CHEMBL125541,O=C(Cl)C1=Cc2cc(Br)ccc2CC1=O,6.959991363986458
73,CHEMBL331245,Cc1ccc2c(c1)C=C(C(=O)O)C(=O)C2,7.720105019988361
74,CHEMBL121752,CCOC(=O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,6.0
75,CHEMBL123071,O=C(O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,7.709965388637482
76,CHEMBL123155,O=C(Cl)C1=Cc2ccccc2CC1=O,6.9399824574684
77,CHEMBL56918,C/C(=C\COc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1,6.840011949618013
78,CHEMBL122239,Cc1cc2ccc(OC/C=C/C3=CC(=O)C(C)(C)O3)cc2oc1=O,6.23000269597146
79,CHEMBL326485,CC1(c2ccccc2)OC(/C=C/COc2ccc3ccc(=O)oc3c2)=CC1=O,5.820000358220839
80,CHEMBL119017,C/C(=C\COc1ccc2c(C)c(C)c(=O)oc2c1)C1=CC(=O)C(C)(C)O1,6.890016705180107
81,CHEMBL120770,Cc1cc(=O)oc2cc(OC/C=C/C3=CC(=O)C(C)(C)O3)ccc12,6.770011163455189
82,CHEMBL118875,Cc1c(C)c2ccc(OC/C=C/C3=CC(=O)C(C)(C)O3)cc2oc1=O,6.199998172182031
83,CHEMBL118629,CC(=O)/C=C/C=C/COc1ccc2ccc(=O)oc2c1,5.770000934050708
84,CHEMBL333655,CC1(C)OC(/C=C/COc2ccc3ccc(=O)oc3c2)=CC1=O,7.550059011226662
85,CHEMBL130217,NC(=O)/C=C1\CCc2c(F)cc(F)cc21,6.698970004336019
87,CHEMBL2093956,Cc1ccc([C@@]2(F)C[C@H]2N)cc1,5.173925197299173
89,CHEMBL536057,C=C(CNN)c1ccccc1,4.1487416512809245
99,CHEMBL556769,NNC/C(=C/F)c1ccccc1,6.187086643357144
100,CHEMBL553631,C=C(CNN)c1ccccc1C,4.045757490560675
101,CHEMBL536059,C=C(CNN)c1ccc(F)cc1,4.0915149811213505
102,CHEMBL536060,C=C(CNN)c1ccc(Cl)cc1,4.610833915635467
103,CHEMBL142738,Cc1c(C)c2ccc(NC(=O)c3ccccc3)cc2oc1=O,8.059981844992336
104,CHEMBL145781,O=c1ccc2ccc(OCc3ccccc3)cc2o1,8.770062314092065
105,CHEMBL339565,CC(=O)c1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,7.580044251510242
106,CHEMBL124935,O=C1c2ccccc2-c2nnc(-c3ccc([N+](=O)[O-])cc3)cc21,8.079981083971084
107,CHEMBL123895,O=C1c2ccccc2-c2nnc(-c3ccccc3[N+](=O)[O-])cc21,6.279997898282849
108,CHEMBL339429,N#Cc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,6.929999096197655
109,CHEMBL339027,N#Cc1cccc(-c2cc3c(nn2)-c2ccccc2C3=O)c1,7.4800408192479315
111,CHEMBL127774,O=C1c2ccccc2-c2nnc(-c3cccc(C(F)(F)F)c3)cc21,8.070019409484486
112,CHEMBL338094,O=C1c2ccccc2-c2nnc(-c3ccc(Br)cc3)cc21,8.090016305060155
113,CHEMBL127622,O=C1c2ccccc2-c2nnc(-c3cccc(Br)c3)cc21,8.250031916490597
114,CHEMBL127517,O=C1c2ccccc2-c2nnc(-c3ccc(Cl)cc3)cc21,7.96018944585165
115,CHEMBL339626,O=C1c2ccccc2-c2nnc(-c3cccc(Cl)c3)cc21,8.33998877871067
116,CHEMBL127518,O=C1c2ccccc2-c2nnc(-c3ccccc3Cl)cc21,6.719991046891814
117,CHEMBL125921,O=C1c2ccccc2-c2nnc(-c3ccc(F)c(F)c3)cc21,8.299988937677888
118,CHEMBL340701,O=C1c2ccccc2-c2nnc(-c3ccc(F)cc3)cc21,7.830031826003108
119,CHEMBL127751,O=C1c2ccccc2-c2nnc(-c3cccc(F)c3)cc21,7.36997914888659
120,CHEMBL125044,COc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,7.130005999878258
121,CHEMBL125094,COc1cccc(-c2cc3c(nn2)-c2ccccc2C3=O)c1,7.36997914888659
122,CHEMBL127757,O=C1c2ccccc2-c2nnc(-c3ccc(O)cc3)cc21,6.570005615848293
123,CHEMBL339561,Cc1ccccc1-c1cc2c(nn1)-c1ccccc1C2=O,6.219999701663429
124,CHEMBL420523,O=C1c2ccccc2-c2nnc(-c3ccco3)cc21,5.570000775141681
125,CHEMBL127982,O=C1c2ccccc2-c2nnc(-c3ccc4ccccc4c3)cc21,8.199970640755867
126,CHEMBL125843,O=C1c2ccccc2-c2nnc(/C=C/c3ccccc3)cc21,7.580044251510242
127,CHEMBL126505,O=C1c2ccccc2-c2nnc(CCc3ccccc3)cc21,7.50003813440381
128,CHEMBL338035,O=C1c2ccccc2-c2nnc(Cc3ccccc3)cc21,6.119998611678231
129,CHEMBL128029,O=C1c2ccccc2-c2nnc(-c3ccccc3)c(Cc3ccccc3)c21,5.889999848866887
130,CHEMBL421088,O=C1c2ccccc2-c2nnc(-c3ccccc3)cc21,6.749994971513104
131,CHEMBL126504,Cc1nnc2c(c1-c1ccccc1)C(=O)c1ccccc1-2,5.529999886197673
133,CHEMBL357614,Cc1c(C)c2ccc(OCc3c(F)c(F)c(F)c(F)c3F)cc2oc1=O,8.789949150124862
134,CHEMBL142582,Cc1c(C)c2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2oc1=O,8.950007143079857
135,CHEMBL145792,Cc1c(C)c2ccc(OCc3ccc(C#N)cc3)cc2oc1=O,8.630042392653946
136,CHEMBL274030,Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O,8.830031826003108
137,CHEMBL276076,Cc1c(C)c2ccc(OCc3ccc(F)cc3)cc2oc1=O,8.809948582240795
138,CHEMBL18966,Cc1ccc(COc2ccc3c(C)c(C)c(=O)oc3c2)cc1,8.860120913598763
139,CHEMBL356977,Cc1c(C)c2ccc(OCc3cccc([N+](=O)[O-])c3)cc2oc1=O,8.96018944585165
140,CHEMBL356714,Cc1c(C)c2ccc(OCc3cccc(C#N)c3)cc2oc1=O,8.849857838151442
141,CHEMBL143555,Cc1c(C)c2ccc(OCc3cccc(C(F)(F)F)c3)cc2oc1=O,8.369979148886591
142,CHEMBL109018,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,8.669992299127241
143,CHEMBL108697,Cc1c(C)c2ccc(OCc3cccc(F)c3)cc2oc1=O,9.040005161671584
144,CHEMBL439811,CC(=O)Nc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,8.100015437450608
145,CHEMBL145003,Cc1c(C)c2ccc(OCc3cccc(OC(F)(F)F)c3)cc2oc1=O,8.439973751087107
