,molecule_chembl_id,canonical_smiles,pIC50
86,CHEMBL58897,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(C(F)(F)F)cc3)CC2)CC1,9.096910013008056
90,CHEMBL301454,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,8.853871964321762
94,CHEMBL416512,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)Cc3ccccc3)CC2)CC1,7.1249387366083
97,CHEMBL60279,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc4ccn(C)c4c3)CC2)CC1,7.040958607678906
101,CHEMBL62152,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.585026652029182
105,CHEMBL61424,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,9.0
109,CHEMBL59358,COc1cc(CN(c2ccccc2)C2CCN(C3(C)CCN(C(=O)c4c(C)cc[n+]([O-])c4C)CC3)CC2)cc(OC)c1OC,6.0
112,CHEMBL61466,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Cl)cc3)CC2)CC1,8.619788758288394
116,CHEMBL59285,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(-c4ccccc4)cc3)CC2)CC1,6.337242168318426
119,CHEMBL294271,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3cccc4ccn(C)c34)CC2)CC1,6.991399828238082
123,CHEMBL61373,Cc1nc(-c2ccncc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.55284196865778
128,CHEMBL58109,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.045757490560675
131,CHEMBL293900,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2cccc3[nH]ccc23)CC1,8.00436480540245
135,CHEMBL60589,Cc1cc(C)c(S(=O)(=O)N2CCC(C)(N3CCC(N(c4ccccc4)c4ccccc4)CC3)CC2)c(C)c1,7.3872161432802645
138,CHEMBL60225,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccc(Br)cc3)CC2)CC1,8.638272163982407
142,CHEMBL59101,Cc1ccccc1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.10790539730952
146,CHEMBL433635,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)C2CCCCC2)CC1,6.38933983691012
150,CHEMBL58248,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccc(C#N)cc3)c3ccccc3)CC2)CC1,8.42021640338319
154,CHEMBL58387,Cc1ccnc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.638272163982407
158,CHEMBL311795,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1,11.0
159,CHEMBL352514,CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C3CCC3)C[C@@H]2c2ccccc2)CC1,8.795880017344075
160,CHEMBL81252,CCN(C(=O)OCc1ccccc1)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2cccc(Cl)c2)CC1,8.698970004336019
161,CHEMBL84268,CCN(C(=O)NC)C1CCN(CCC(CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,6.920818753952375
162,CHEMBL82786,CCCN(C(=O)CCc1ccccc1)C1CCN(CC[C@@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,7.698970004336019
163,CHEMBL311532,CCN(C(=O)Oc1ccccc1)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,8.0
164,CHEMBL81926,CCCN(C(=O)OCc1ccccc1C)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,8.397940008672037
165,CHEMBL81719,CN(C[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1ccccc1)S(=O)(=O)c1ccccc1,7.455931955649724
166,CHEMBL2114183,CCCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,8.823908740944319
167,CHEMBL353330,CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C3CCCCC3)C[C@@H]2c2cccc(F)c2)CC1,8.795880017344075
168,CHEMBL312945,CCOC(=O)N(CC1CCCCC1)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,7.455931955649724
169,CHEMBL368637,CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@](C)(C(=O)O)C(C)C)C[C@@H]2c2cccc(F)c2)CC1,8.259637310505756
170,CHEMBL309657,CCN(C(=O)OCC1CCCCC1)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,7.823908740944319
171,CHEMBL83823,CCCN(C(=O)OCc1cccc(C)c1)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,8.522878745280337
172,CHEMBL311248,C=CCN(C(=O)Cc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,8.698970004336019
173,CHEMBL353331,CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1,8.920818753952375
175,CHEMBL79667,CCCCCCN(C(=O)OC)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,8.0
176,CHEMBL174304,CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)C)C[C@@H]2c2cccc(F)c2)CC1,8.823908740944319
177,CHEMBL311549,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2cccc(Cl)c2)CC1,8.698970004336019
178,CHEMBL82879,CCCN(C(=O)c1ccccc1)C1CCN(CC[C@@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,7.0
179,CHEMBL421527,CN(C[C@@H](CCN1CCC(NC(=O)OC(C)(C)C)CC1)c1ccccc1)S(=O)(=O)c1ccccc1,6.0
180,CHEMBL79930,CCN(C(=O)OC(C)(C)C)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,7.522878745280337
181,CHEMBL172551,CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)C)C[C@@H]2c2ccccc2)CC1,8.55284196865778
182,CHEMBL311052,CCCN(C(=O)OCc1ccc(C(F)(F)F)cc1)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,8.221848749616356
183,CHEMBL83057,CCCN(C(=O)Cc1ccccc1)C1CCN(CC[C@@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,8.522878745280337
184,CHEMBL172371,CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@@](C)(C(=O)O)C(C)C)C[C@@H]2c2cccc(F)c2)CC1,8.795880017344075
185,CHEMBL82048,CCCN(C(=O)OCc1ccccc1)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,8.698970004336019
